Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
CRI	Carter's Inc	Consumer Non-Durables	Apparel	19.18	5.1	1.51	47857660	1.48	1.92	1.44	6.26
CRK	Comstock Resources	Energy	Oil & Gas Production	0	-9.39	0	15477380	0	-0.04	0.34	0
CRL	Charles River Laboratories Intl	Health Care	Biotechnology: Commercial Physical & Biological Resarch	30.93	3.8	0	47623100	0	2.13	3.11	5.83
CRM	Salesforce.Com Inc	Technology	Computer Software: Prepackaged Software	0	-0.11	0	718669400	0	2.6	7.66	8.51
CRR	Carbo Ceramics	Capital Goods	Industrial Machinery/Components	0	-3.54	0	27147350	0	-0.18	1.4	0.32
CRS	Carpenter Technology Corp	Basic Industries	Steel/Iron Ore	50.8	0.99	1.43	46728980	0.72	0.91	1.31	1.96
CRT	Cross Timbers Royalty Trust	Energy	Oil & Gas Production	14.7985	1.019	6.93	6000120	1.04	0	13.44	9.3428
CRY	Cryolife	Health Care	Medical/Dental Instruments	60.61	0.33	0	33446000	0	1.59	3.65	3.05
CS	Credit Suisse Group	Finance	Investment Bankers/Brokers/Service	0	-0.83	4.41	2553515000	0.7	0	1.83	0.89
CSL	Carlisle Companies Inc	Basic Industries	Specialty Chemicals	31.43	3.54	1.33	63135180	1.48	1.4	1.84	2.83
CSLT	Castlight Health Inc			0	-0.44	0	131686100	0	-0.58	4.74	2.89
CSRA	Csra Inc			16.44	1.92	1.26	163498100	0.4	1.62	1.05	13.72
CSS	Css Industries	Consumer Services	Consumer: Greeting Cards	11.13	2.71	2.68	9093926	0.8	3.42	0.83	0.95
CSTM	Constellium N.V.			45.51	0.27	0	105349800	0	0.07	0.2	0
CSU	Capital Senior Living Corp	Health Care	Hospital/Nursing Management	0	-1.62	0	29500400	0	-0.28	0.79	3.98
CSV	Carriage Services	Consumer Services	Other Consumer Services	21.66	1.18	1.16	16720090	0.3	1.22	1.7	2.31
CTAA	Qwest Corp			0	0	0	9400075	0	0	0.03	0
CTB	Cooper Tire & Rubber Company	Consumer Durables	Automotive Aftermarket	9.89	3.62	1.15	52307690	0.42	-15.24	0.66	1.68
CTBB	Qwest Corp			0	0	0	39100120	0	0	0	0
CTDD	Qwest Corporation 6.75% Notes Due 2057			0	0	0	26400160	0	0	0	0
CTL	Centurylink	Public Utilities	Telecommunications Equipment	25.33	0.69	11.67	549771200	2.16	-0.97	0.6	0.78
CTLT	Catalent Inc			49.45	0.87	0	125290600	0	3.08	2.57	7.36
CTR	Clearbridge Energy MLP Fund In	Consumer Services	Apparel Stores	0	-49.87	0	0	0	0	0	0
CTS	Cts Corp	Capital Goods	Electrical Products	29.42	0.91	0.61	32932840	0.16	2.08	2.12	2.57
CTT	Catchmark Timber Trust Inc			0	-0.32	4.33	38823060	0.54	0	5.47	1.32
CTU	Qwest Corp			0	0	0	0	0	0	0	0
CTV	Qwest Corp	Technology	Radio And Television Broadcasting And Communications Equipment	0	1.1	0	0	0	0	0	0
CTW	Qwest Corp			0	0	0	6519829	0	0	0	0
CTX	Qwest Corp	Industrial Goods	Residential Construction	0	0	0	0	0	0	0	0
CTY	Qwest Corp			0	0	0	0	0	0	0	0
CTZ	Qwest Corporation 6.625% Notes			0	0	0	0	0	0	0	0
CUB	Cubic Corp	Capital Goods	Industrial Machinery/Components	0	-1.18	0.49	27121770	0.27	-0.77	1.03	2.25
CUB-C	Customers Bancorp Inc Perp Pref Series C			0	0	0	0	0	0	0	0
CUB-D	Customers Bancorp Inc			0	0	0	0	0	0	0	0
CUB-E	Customers Bancorp Inc			0	0	0	0	0	0	0	0
CUB-F	Customers Bancorp Inc Prf			0	0	0	0	0	0	0	0
CUBE	Cubesmart			46.32	0.58	4.19	180089500	1.08	6.23	8.71	2.88
CUBI	Customers Bancorp			11.69	2.44	0	30729970	0	0	3.05	1.27
CUBS	Customers Bancorp Inc			10.6	2.44	0	30729830	0	0	2.76	1.15
CUDA	Barracuda Networks Inc			137.76	0.17	0	53373180	0	3.33	3.43	57.47
CUK	Carnival Plc Ads	Consumer Services	Marine Transportation	18.3	3.68	2.69	721058100	1.8	0	2.81	1.99
CULP	Culp Inc			17.95	1.75	1.01	12441000	0.32	0	0	0
CURO	Curo Group Holdings Corp			0	0	0	0	0	0	0	0
CUZ	Cousins Properties Inc	Consumer Services	Real Estate Investment Trusts	14.75	0.62	2.64	420021800	0.24	0	9.44	1.38
CVA	Covanta Holding Corp	Basic Industries	Electric Utilities: Central	0	-0.21	6.56	129780600	1	-1.16	1.16	5.73
CVE	Cenovus Energy Inc	Energy	Oil & Gas Production	3.94	2.45	1.71	1228778000	0.16	0.45	0.94	0.71
CVEO	Civeo Corp			0	-0.81	0	132250000	0	-0.19	0.7	0.5
CVG	Convergys Corp	Technology	EDP Services	18.17	1.42	1.55	93276330	0.4	1.37	0.83	1.77
CVI	Cvr Energy Inc	Energy	Integrated oil Companies	99.64	0.27	7.42	86813180	2	-2.1	0.42	2.99
CVNA	Carvana Co. Class A			0	-7.62	0	15518030	0	-0.11	0.34	6.29
CVRR	Cvr Refining LP			30.08	0.36	0	147222200	0	0.09	0.3	1.14
CVS	CVS Corp	Health Care	Medical/Nursing Services	13.74	5.02	2.63	1016524000	2	1.39	0.41	2.18
CVX	Chevron Corp	Energy	Integrated oil Companies	36.82	3.08	3.65	1895015000	4.32	0.57	1.92	1.54
CW	Curtiss-Wright Corp	Technology	Industrial Machinery/Components	26.31	4.41	0.52	44153160	0.6	2.7	2.35	3.64
CWH	Camping World Holdings Inc	Consumer Services	Real Estate Investment Trusts	0	-3.17	0.79	29327610	0.32	1.89	0.31	6.79
CWT	California Water Service Group Holding	Public Utilities	Water Supply	35.87	1.2	1.67	48083620	0.72	3.31	3.25	3.09
CX	Cemex S.A.B. De C.V.	Capital Goods	Building Materials	10.66	0.77	0	1499391000	0	7.81	0.84	1.29
CXE	Colonial High Income Muni Trust	Finance	Closed-End Fund - Debt	0	0.11	0	0	0	0	0	0
CXH	Colonial Investment Grade Muni Trust	Finance	Closed-End Fund - Debt	0	0.04	0	0	0	0	0	0
CXO	Concho Resources Inc	Energy	Oil & Gas Production	30.72	4.31	0	147541000	0	4.04	9.15	2.2
CXP	Columbia Property Trust Inc	Building Cement - Concrete - Aggregate		18.82	1.14	3.82	121212100	0.8	0	6.75	1.01
CXW	Corecivic Inc	Consumer Services	Diversified Commercial Services	13.88	1.8	6.73	118236500	1.68	1.36	1.61	2
CYD	China Yuchai International	Energy	Industrial Machinery/Components	8.95	2.57	3.84	40712180	0.9	0	0.41	0.81
CYH	Community Health Systems	Health Care	Hospital/Nursing Management	0	-5.72	0	111935000	0	-1.59	0.04	0.5
CYS	Cys Investments Inc	Consumer Services	Real Estate Investment Trusts	0	-0.26	12.18	152253300	1	-1.84	199.76	0.97
CYS-A	Cys Investments Inc			0	0	0	0	0	0	0	0
CYS-B	Cys Investments Inc			0	0	0	0	0	0	0	0
CZZ	Cosan Ltd	Consumer Non-Durables	Specialty Foods	81.28	0.11	0.86	265237000	0.08	0	0.61	1.18
D	Dominion Resources	Public Utilities	Electric Utilities: Central	23.3	3.45	3.83	642528900	3.08	5.6	4.16	3.38
DAC	Danaos Corp	Transportation	Marine Transportation	0	-3.79	0	109800000	0	0.56	0.37	0.33
DAL	Delta Air Lines Inc	Transportation	Air Freight/Delivery Services	10.16	4.97	2.4	715981100	1.22	1.91	0.9	2.6
DAN	Dana Inc	Capital Goods	Auto Parts:O.E.M.	6.4	4.72	0.82	144797900	0.24	1.64	0.67	3.8
DAR	Darling International Inc	Consumer Non-Durables	Packaged Foods	35.09	0.51	0	164613700	0	15.14	0.83	1.41
DATA	Tableau Software Inc Class A			0	-1.93	0	79153020	0	26.55	7.22	8.16
DB	Deutsche Bank Ag	Finance	Major Banks	0	-0.68	0	2065564000	0	1.64	1.04	0.41
DBD	Diebold Nixdorf Inc	Miscellaneous	Office Equipment/Supplies/Services	0	-3.63	1.98	75510210	0.4	1.39	0.34	2.6
DBL	Doubleline Opportunistic Credi			0	0	0	0	0	0	0	0
DCF	Dreyfus Alcentra Global Credit Income 2024 Targe			0	0	0	0	0	0	0	0
DCI	Donaldson Company	Capital Goods	Pollution Control Equipment	27.66	1.74	1.49	129883600	0.72	2.58	2.64	7.4
DCM	Ntt Docomo Inc	Technology	Radio And Television Broadcasting And Communications Equipment	15.43	1.58	3.04	3704387000	0.72	0	2.13	1.76
DCO	Ducommun Inc	Capital Goods	Military/Government/Technical	28.3	1.2	0	11318930	0	86.2	0.7	1.76
DCP	Dcp Midstream LP	Consumer Services	Business Services	17.94	1.85	9.39	143201000	3.12	3.57	1.93	0.67
DCT	Dct Industrial Trust Inc	Consumer Services	Real Estate Investment Trusts	58.36	1	2.12	93063190	1.24	-2.26	12.82	2.78
DCUD	Dominion Resources Inc			0	0	0	24980780	0	0	0	0
DD-A	Du Pont E I 3.50 Pfd	Basic Industries	Major Chemicals	0	0	0	0	0	0	0	0
DD-B	Du Pont E I 4.50 Pfd	Basic Industries	Major Chemicals	0	0	0	0	0	0	0	0
DDD	3D Systems Corp			0	-0.31	0	113518200	0	2.68	2.1	2.07
DDE	Dover Downs Gaming & Entertainment Inc	Consumer Services	Services-Misc. Amusement & Recreation	0	0	0	33155340	0	0	0.19	0.29
DDF	Delaware Dividend & Income	Finance	Closed-End Fund - Debt	0	1.38	0	0	0	0	0	0
DDR	DDR Corp	Consumer Services	Real Estate Investment Trusts	0	-0.21	9.64	367088600	0.76	23.88	3	1.06
DDR-A	DDR Corp Dep Shs Repstg 1/20Th Cl A Cum Red Pfd			0	0	0	0	0	0	0	0
DDR-J	DDR Corp			0	0	0	0	0	0	0	0
DDR-K	DDR Corp			0	0	0	0	0	0	0	0
DDS	Dillard's	Consumer Services	Department/Specialty Retail Stores	13	4.04	0.74	28968930	0.4	-1.36	0.25	0.98
DDT	Dillard's	Consumer Services	Department/Specialty Retail Stores	0	0	0	0	0	0	0	0
DE	Deere & Company	Capital Goods	Industrial Machinery/Components	22.13	6.02	1.82	321275800	2.4	0.91	1.53	4.95
DEA	Easterly Government Properties			200.3	0.1	5.05	38287070	1	0	6.53	1.34
DECK	Deckers Outdoor Corp			104.15	0.7	0	32004410	0	3.99	1.23	2.46
DEI	Douglas Emmett	Consumer Services	Real Estate Investment Trusts	67.93	0.58	2.34	162808300	0.92	8.77	8.11	2.97
DEL	Deltic Timber Corp	Basic Industries	Forest Products	133.87	0.69	0.43	12233410	0.4	0	5.13	4.48
DEO	Diageo Plc	Consumer Non-Durables	Beverages (Production/Distribution)	24.52	5.57	3	628332800	4.06	0	5.35	6.25
DESP	Despegar.Com Corp			0	0.63	0	67071120	0	0	0	0
DEX	Delaware Enhanced Global Dividend		Business Services	0	0	0	0	0	0	0	0
DF	Dean Foods Company	Consumer Non-Durables	Specialty Foods	16.15	0.61	3.62	90914720	0.36	4.01	0.11	1.49
DFIN	Donnelly Financial Solutions Inc			18.56	1.14	0	33699860	0	5.33	0.73	4.39
DFP	Flaherty & Crumrine Dynamic	Finance	Life Insurance	0	3.34	0	0	0	0	0	0
DFS	Discover Financial Services	Finance	Finance: Consumer Services	11.52	5.8	2.1	372416900	1.4	1.45	3.46	2.34
DG	Dollar General Corp	Consumer Services	Department/Specialty Retail Stores	18.86	4.41	1.23	273240400	1.04	2.4	1.01	4.05
DGX	Quest Diagnostics Inc	Health Care	Medical Specialities	19.28	4.96	1.9	136392100	1.8	2.27	1.7	2.74
DHCP	Ditech Holding Corporation			0	0	0	0	0	0	0	0
DHF	Dreyfus High Yield Strategies Fund	Finance	Closed-End Fund - Debt	0	0.62	0	0	0	0	0	0
DHG	Dws High Income Opportunities Fund			0	0	0	0	0	0	0	0
DHI	D.R. Horton	Capital Goods	Homebuilding	16.6	2.67	0.9	374266400	0.4	1.17	1.2	2.21
DHR	Danaher Corp	Capital Goods	Industrial Machinery/Components	29.44	3.13	0.61	694742600	0.56	2.69	3.64	2.58
DHT	Dht Holdings	Transportation	Marine Transportation	0	-0.44	2.06	142345800	0.08	3.7	1.69	0.59
DHX	Dice Holdings	Miscellaneous	Business Services	0	-0.17	0	50408330	0	0.8	0.54	1.02
DIAX	Nuveen DOW			0	1.81	0	0	0	0	0	0
DIN	Dineequity Inc	Miscellaneous	Multi-Sector Companies	10.78	4.49	8.48	17997930	3.88	2.81	1.39	3.43
DIS	Walt Disney Company	Consumer Services	Services-Misc. Amusement & Recreation	17.44	5.64	1.58	1543485000	1.56	2.46	2.74	3.71
DK	Delek US Holdings	Consumer Durables	Automotive Aftermarket	0	-2.33	2.31	81538460	0.6	-1.31	0.46	1.66
DKL	Delek Logistics Partners LP			15.81	1.9	9.74	24361000	2.82	0.74	1.44	0
DKS	Dick's Sporting Goods Inc	Consumer Services	Other Specialty Stores	9.62	2.79	2.54	109328400	0.68	1.07	0.35	1.49
DKT	Deutsch Bk Contingent Cap TR V			0	0	0	0	0	0	0	0
DL	China Distance Education Holdings	Consumer Services	Other Consumer Services	11.95	0.64	5.91	32963210	0.45	-1.81	1.97	6.29
DLB	Dolby Laboratories	Technology	Radio And Television Broadcasting And Communications Equipment	29.35	1.96	0.97	102649000	0.56	1.81	5.5	2.77
DLN-A	Dynagas Lng Partners LP 9.00% Series A			0	0	0	0	0	0	0	0
DLNG	Dynagas Lng Partners LP			13.8	0.95	12.94	35524790	1.69	16.12	2.98	1.73
DLPH	Delphi Technologies Plc			20.9	4.72	1.17	266889500	1.16	1.2	1.55	9.13
DLR	Digital Realty Trust	Consumer Services	Real Estate Investment Trusts	47.34	2.46	3.19	162162200	3.72	2.21	8.3	4.52
DLR-C	Digital Realty Trust Inc 6.625% Series C			0	0	0	0	0	0	0	0
DLR-G	Digital Realty Trust Inc			0	0	0	0	0	0	0	0
DLR-H	Digital Realty			0	0	0	0	0	0	0	0
DLR-I	Digital Rlty TR Inc Pfd Sr I %			0	0	0	0	0	0	0	0
DLR-J	Digital Realty Trust Inc Cum Redeemable Pfd Ser			0	0	0	0	0	0	0	0
DLX	Deluxe Corp	Consumer Durables	Publishing	15.02	4.67	1.65	48297480	1.2	1.84	1.84	3.7
DM	Dominion Midstream Partners LP	Miscellaneous	Business Services	23.69	1.36	3.53	99376950	1.15	1.69	6.13	1.56
DMB	Dreyfus Municipal Bond Infrastr			0	0	0	0	0	0	0	0
DMO	Western Asset Mortgage Defined Opp			0	0	0	0	0	0	0	0
DNB	Dun & Bradstreet Corp	Finance	Finance: Consumer Services	40.26	2.94	1.7	36955600	2.01	2.87	2.55	0
DNI	Chartwell Dividend & Income Fund			0	2.08	0	0	0	0	0	0
DNOW	Now Inc			0	-1.56	0	107589700	0	0	0.56	1.1
DNP	Duff & Phelps Utilities Income	Finance	Closed-End Fund - Equity	0	1.44	0	0	0	0	0	0
DNR	Denbury Resources	Energy	Oil & Gas Production	0	-0.96	0	389903500	0	0.56	0.4	0.82
DO	Diamond Offshore Drilling	Energy	Oil & Gas Production	12.85	1.23	0	137254900	0	-0.97	1.46	0.57
DOC	Physicians Realty Trust			74.83	0.23	5.16	157624200	0.92	6.86	9.2	1.31
DOOR	Masonite Wrldwde Hld			21.15	3.18	0	29547140	0	0.4	1.01	2.95
DOV	Dover Corp	Technology	Industrial Machinery/Components	24	4	1.95	155729200	1.88	1.48	2.06	3.69
DPG	Duff & Phelps Global Utility I			0	0	0	0	0	0	0	0
DPLO	Diplomat Pharmacy Inc			115.03	0.18	0	67933490	0	1.63	0.31	2.22
DPS	Dr Pepper Snapple Group Inc	Consumer Non-Durables	Beverages (Production/Distribution)	20.56	4.17	2.68	181691000	2.32	2.68	2.39	7.31
DPZ	Domino's Pizza Inc	Consumer Non-Durables	Food Distributors	35.16	5.25	1.01	43751350	1.84	1.67	2.99	0
DQ	Daqo New Energy	Technology	Semiconductors	7.67	4.79	0	10529000	0	0.87	1.44	1.19
DRD	Drdgold Ltd			138.4	0.03	3.62	42205200	0.12	0	0.78	1.4
DRE	Duke Realty Corp	Consumer Services	Real Estate Investment Trusts	7.05	4.06	2.64	355695300	0.76	1.29	11.03	2.21
DRH	Diamondrock Hospitality Company	Consumer Services	Real Estate Investment Trusts	22.06	0.49	4.59	200000000	0.5	-2.55	2.52	1.19
DRI	Darden Restaurants	Consumer Services	Restaurants	21.58	3.86	3.04	123724900	2.52	1.61	1.39	4.97
DRQ	Dril-Quip	Energy	Metal Fabrications	77.14	0.54	0	37831320	0	-16.73	3.09	1.07
DRUA	Dominion Resources Inc			0	0	0	32000000	0	0	0	0
DS	Drive Shack Inc			0	-0.34	12.97	66932800	0.48	1.43	0.85	1.8
DS-B	Drive Shack Inc [Dspb]			0	0	0	0	0	0	0	0
DS-C	Drive Shack Inc [Dspc]			0	0	0	0	0	0	0	0
DS-D	Drive Shack Inc [Dspd]			0	0	0	0	0	0	0	0
DSE	Duff & Phelps Select Energy ML			0	0	0	0	0	0	0	0
DSL	Doubleline Income Solutions Fun	Finance	Savings & Loans	0	0	8.67	0	1.8	0	0	0
DSM	Dreyfus Strategic Muni Bond Fund	Finance	Closed-End Fund - Debt	0	0.1	0	0	0	0	0	0
DST	Dst Systems	Technology	EDP Services	5.84	9.92	1.24	60590370	0.72	1.87	1.89	2.91
DSU	Blackrock Debt Strategies Fund	Finance	Closed-End Fund - Debt	0	2.07	0	0	0	0	0	0
DSW	DSW Inc	Consumer Services	Clothing/Shoe/Accessory Stores	14.11	1.49	3.76	80285030	0.8	2.82	0.62	1.76
DSX	Diana Shipping Inc	Transportation	Marine Transportation	0	-1.86	0	96691730	0	-0.84	3.09	0.35
DSX-B	Diana Shipping			0	0	0	0	0	0	0	0
DSXN	Diana Shipping Inc			0	0	0	2200000	0	0	0	0
DTE	Dte Energy Company	Public Utilities	Electric Utilities: Central	19.08	5.81	3	179373800	3.3	4.09	1.66	2.17
DTF	Duff & Phelps Utilities Tax-Free Income	Finance	Closed-End Fund - Debt	0	0.88	0	0	0	0	0	0
DTJ	Dte Energy Company 2016 Series			0	0	0	12000000	0	0	0	0
DTK	Deutsche Bk Contingent Cap TR I	Finance	Finance: Consumer Services	0	0	0	0	0	0	0	0
DTL.P	Datalink Corp			0	0	0	0	0	0	0	0
DTQ	Dte Energy Co			0	3.96	0	8000000	0	0	0	0
DTV	Dte Energy Co	Technology	Communication Equipment	0	5.75	0	0	0	0	0	0
DTW	Dte Energy Company 2017 Series E 5.25% Jr			0	0	0	0	0	0	0	0
DTY	Dte Energy Co			0	0	0	0	0	0	0	0
DUC	Duff & Phelps Utility & Corporate Trust	Finance	Closed-End Fund - Equity	0	0.53	0	0	0	0	0	0
DUK	Duke Energy Corp	Public Utilities	Power Generation	26.05	3.38	4.08	699943200	3.56	5.89	2.65	1.48
DUKH	Duke Energy Corp			7.51	3.38	0	700078900	0	0	0.77	0.43
DVA	Davita Healthcare Partners Inc	Health Care	Hospital/Nursing Management	9.43	6.57	0	191145600	0	1.37	0.78	2.31
DVD	Dover Downs Entertainment	Consumer Services	Services-Misc. Amusement & Recreation	18.57	0.1	4	36892310	0.08	0	1.6	1.3
DVMT	Dell Technologies Inc Cl V			0	-5.26	0	772770600	0	1.17	0.87	5.86
DVN	Devon Energy Corp	Energy	Oil & Gas Production	8.12	4.42	0.69	525641000	0.24	-3.96	1.52	2.66
DWDP	Dowdupont Inc			0	2.34	2.52	2335953000	1.84	0	0	0
DX	Dynex Capital	Consumer Services	Real Estate Investment Trusts	4.62	1.54	10.21	49233470	0.72	-1.26	3.29	0.94
DX-A	Dynex Capital Inc			0	0	0	0	0	0	0	0
DX-B	Dynex Capital Inc			0	0	0	0	0	0	0	0
DXB	Deutsche Bk Contingent Cap TR I	Finance	Major Banks	0	0	0	0	0	0	0	0
DXC	Dxc Technology Company			289.94	0.32	0.79	284735100	0.72	0.3	2.23	2.16
DY	Dycom Industries	Public Utilities	Water Supply	18.23	4.92	0	31100210	0	1.66	0.9	4.13
DYN	Dynegy Inc	Public Utilities	Electric Utilities: Central	0	-1.03	0	131016000	0	0.18	0.31	0.85
DYN.A	Dynegy Inc			0	0	0	0	0	0	0	0
DYNC	Dynegy Inc 7.00% Tangible Equi			0	0	0	4000000	0	0	0	0
E	Eni S.P.A.	Energy	Oil & Gas Production	63.23	0.5	5.77	1820521000	1.88	0	0.79	1.01
EAB	First Mortgage Bonds			7.1152	3.498	0	47008530	0	0	0.5582	0.5056
EAE	Entergy Arkansas Inc			7.06	3.5	0	46944560	0	0	0.56	0.5
EAI	Entergy Arkansas Inc			0	0	0	16400060	0	0	0	0
EARN	Ellington Residential Mortgage			10.64	1.29	11.2	13204810	1.6	-1.7	5.05	0.93
EAT	Brinker International	Consumer Services	Restaurants	10.55	2.94	4.88	48355900	1.52	1.05	0.48	0
EBF	Ennis Inc	Consumer Services	Office Equipment/Supplies/Services	18.99	1.11	3.97	25417140	0.8	3.44	1.43	2.02
EBR	Centrais Electricas Brazil	Public Utilities	Electric Utilities: Central	0	-0.83	0	1352778000	0	0	0.78	0.66
EBR.B	Centrais Eletricas Brasileiras			0	0	0	0	0	0	0	0
EBS	Emergent Biosolutions	Consumer Durables	Major Pharmaceuticals	25.86	1.57	0	41133000	0	1.56	3.22	2.65
EC	Ecopetrol S.A.	Energy	Oil & Gas Production	18.6	0.58	1.49	2055607000	0.16	0.3	1.19	1.4
ECA	Encana Corp	Energy	Oil & Gas Production	13.4	0.84	0.56	973309600	0.06	0.19	2.76	1.53
ECC	Eagle Point Credit Co. Inc			0	5.63	0	0	0	0	0	0
ECCA	Eagle Point Credit Company Inc			4.582	5.626	7.54	1818006	1.94	0	0.806	1.505
ECCB	Eagle Point Credit Company Inc			4.67	5.63	7.48	1868191	1.94	0	0.85	1.54
ECCY	Eagle Point Credit Company Inc			0	0	0	31625050	0	0	0	0
ECCZ	Eagle Point Credit Co. Inc			0	5.63	0	0	0	0	0	0
ECL	Ecolab Inc	Basic Industries	Package Goods/Cosmetics	30.18	4.37	1.12	289415900	1.48	2.24	2.87	5.55
ECOM	Channeladvisor Corp			0	-0.34	0	26431110	0	-74.67	2.51	3.72
ECR	Eclipse Resources Corp	Finance	Diversified Investments	0	-0.18	0	262738900	0	-8.42	1.75	0.96
ECT	Eca Marcellus Trust I	Energy	Oil & Gas Production	7.27	0.33	14.09	17604170	0.33	0	6.04	0.78
ED	Consolidated Edison Company of New York	Public Utilities	Power Generation	20.79	4.13	3.21	305633200	2.76	6.49	2.18	1.81
EDD	Emerging Markets Domestic Debt Fund			0	0	0	0	0	0	0	0
EDF	Stone Harbor Emerging Markets	Finance	Closed-End Fund - Foreign	0	0	0	0	0	0	0	0
EDI	Stone Harbor Emerging Markets			0	0	0	0	0	0	0	0
EDN	Empresa Distribuidora Y Comercializadora	Public Utilities	Electric Utilities: Central	90.23	0.48	0	45024240	0	1.65	1.84	45.61
EDR	Education Realty Trust Inc	Consumer Services	Real Estate Investment Trusts	82.02	0.43	4.43	73149980	1.56	7.42	8.3	1.46
EDU	New Oriental Education & Technology Group	Consumer Services	Other Consumer Services	49.06	1.74	0	158153700	0	1.1	7.27	7.76
EE	El Paso Electric Company	Public Utilities	Electric Utilities: Central	21.1	2.77	2.31	40582190	1.34	3.99	2.52	2.17
EEA	European Equity Fund	Finance	Closed-End Fund - Foreign	0	-0.2	0	0	0	0	0	0
EEP	Enbridge Energy LP	Energy	Natural Gas Distribution	0	-0.81	9.65	419795200	1.4	1.19	1.37	3.36
EEQ	Enbridge Energy Management Llc	Energy	Oil & Gas Production	0	-0.07	0	85836910	0	-0.4	0	1536.67
EEX	Emerald Expositions Events Inc			90.39	0.26	0	72041170	0	2.27	4.85	2.34
EFC	Ellington Financial Llc	Finance	Real Estate	22.69	0.68	11.65	32111970	1.8	0.85	7.11	0.79
EFF	Eaton Vance Floating-Rate Inco			0	0	0	0	0	0	0	0
EFL	Eaton Vance Floating-Rate 2022 Target Term Trust	Finance	Closed-End Fund - Foreign	0	-2.14	0	0	0	0	0	0
EFR	Eaton Vance Senior Floating-Rate Fund	Finance	Closed-End Fund - Debt	0	1.46	0	0	0	0	0	0
EFT	Eaton Vance Floating Rate Income Trust	Finance	Closed-End Fund - Debt	0	1.69	0	0	0	0	0	0
EFX	Equifax Inc	Finance	Finance: Consumer Services	23.17	4.72	1.43	120394900	1.56	1.94	3.98	4.34
EGF	Blackrock Enhanced Government Fund	Finance	Closed-End Fund - Equity	0	0.109	0	0	0	0	0	0
EGHT	8X8 Inc			0	0	0	0	0	0	0	0
EGIF	Eagle Growth and Income Opportu			0	0	0	0	0	0	0	0
EGL	Engility Holdings Inc			275.41	0.12	0	36904760	0	-3	0.61	1.72
EGN	Energen Corp	Energy	Oil & Gas Production	79.81	0.63	0	97145120	0	4.19	7.01	1.51
EGO	Eldorado Gold Corp	Basic Industries	Precious Metals	0	0	1.15	715124000	0.01	8.73	2.2	0.27
EGP	Eastgroup Properties	Consumer Services	Real Estate Investment Trusts	38.06	2.39	2.88	34137210	2.56	5.79	11.52	4.24
EGY	Vaalco Energy Inc	Energy	Oil & Gas Production	0	-0.203	0	58815580	0	2.61	0.6001	6.1949
EHC	Encompass Health Corp.			0	0	0	0	0	0	0	0
EHI	Western Asset Global High	Finance	Closed-End Fund - Debt	0	0.86	0	0	0	0	0	0
EHIC	Ehi Car Services Ltd			53.05	0.21	0	68376990	0	0	2.11	1.26
EHT	Eaton Vance High Income 2021 Ta			0	0	0	21460780	0	0	0	0
EIG	Employers Holdings Inc	Finance	Property-Casualty Insurers	14.78	3.23	1.28	32460730	0.6	2.04	1.96	1.69
EIX	Edison International	Public Utilities	Electric Utilities: Central	18.79	4.23	2.76	325783300	2.17	3.23	2.12	2.11
EL	Estee Lauder Companies	Consumer Non-Durables	Package Goods/Cosmetics	33.39	3.35	1.22	367927000	1.36	2.56	3.48	9.39
ELC	Entergy Louisiana Llc			0	-2.08	0	0	0	0	0	0
ELF	E.L.F. Beauty Inc			0	-10.41	0	46316720	0	1.93	4.11	6.47
ELJ	Entergy Louisiana Llc			0	0	0	7999889	0	0	0.0738	0
ELLI	Ellie Mae Inc			57.02	1.51	0	34426610	0	4.44	7.95	4.37
ELP	Companhia Paranaense De Energia	Public Utilities	Electric Utilities: Central	18.66	0.44	3.32	273504300	0.27	3.39	0.56	0.47
ELS	Equity Lifestyle Properties	Consumer Services	Real Estate Investment Trusts	42.11	2.09	2.22	87514190	1.95	3.52	8.4	8.06
ELU	Entergy Louisiana Llc First M			0	0	0	0	0	0	0	0
ELVT	Elevate Credit Inc			0	-0.83	0	41693170	0	0	0.54	3.29
ELY	Callaway Golf Company	Consumer Non-Durables	Recreational Products/Toys	7.97	1.81	0.27	94313460	0.04	0.98	1.45	2.14
EMD	Western Asset Emerging Market Debt Fund Inc	Finance	Credit Services	0	1.12	0	0	0	0	0	0
EME	Emcor Group	Capital Goods	Engineering & Construction	23.79	3.34	0.42	59208870	0.32	1.41	0.59	2.88
EMES	Emerge Energy Services LP			0	-1.19	0	30150340	0	-0.91	0.9	5.54
EMF	Templeton Emerging Markets Fund	Finance	Closed-End Fund - Foreign	0	4.64	0	0	0	0	0	0
EMN	Eastman Chemical Company	Basic Industries	Major Chemicals	14.93	6.23	2.19	144838700	2.04	1.41	1.43	2.74
EMO	Clearbridge Energy MLP Opportu			0	0	0	0	0	0	0	0
EMP	Entergy Mississippi Inc 4.9% Bonds			0	0	0	0	0	0	0	0
EMR	Emerson Electric Company	Energy	Consumer Electronics/Appliances	30.07	2.24	2.85	639952500	1.92	2.55	2.9	5.37
ENB	Enbridge Inc	Energy	Natural Gas Distribution	30.16	1.27	5.15	1645757000	1.96	4.65	1.89	1.48
ENBL	Enable Midstream Partners LP			18	0.84	8.36	432432400	1.27	3.51	2.55	0.88
ENIA	Enersis Americas S.A. American			30.11	0.35	2.3	1148956000	0.25	3.5	1.37	1.94
